,team,stadium,img,lat,long,country,state,city
20,Ceará SC,Estádio Governador Plácido Castelo,https://tmssl.akamaized.net/images/wappen/verysmall/2029.png?lm=1437429449,-3.806742,-38.5216794,Brazil,CE,Fortaleza
21,Sport Recife,Estádio Adelmar da Costa Carvalho,https://tmssl.akamaized.net/images/wappen/verysmall/8718.png?lm=1412879537,-8.0630099,-34.9036005,Brazil,PE,Recife
22,Guarani FC,Estádio Brinco de Ouro da Princesa,https://tmssl.akamaized.net/images/wappen/verysmall/1755.png?lm=1450819625,-22.9095729,-47.0433697,Brazil,SP,Campinas
23,EC Vitória,Estádio Manoel Barradas,https://tmssl.akamaized.net/images/wappen/verysmall/2125.png?lm=1412879373,-12.9190959,-38.4271321,Brazil,BA,Salvador
24,Botafogo FC,Estádio Santa Cruz,https://tmssl.akamaized.net/images/wappen/verysmall/9030.png?lm=1423676900,-21.2023921,-47.7901413,Brazil,SP,Ribeirão Preto
25,EC Juventude,Estádio Alfredo Jaconi ,https://tmssl.akamaized.net/images/wappen/verysmall/10492.png?lm=1416046262,-29.1623639,-51.1767753,Brazil,RS,Caxias do Sul
26,Chapecoense,Arena Condá,https://tmssl.akamaized.net/images/wappen/verysmall/17776.png?lm=1677130387,-27.1040926,-52.6069818,Brazil,SC,Chapecó
27,CRB,Estádio Rei Pelé,https://tmssl.akamaized.net/images/wappen/verysmall/11449.png?lm=1419705980,-9.6709074,-35.7596546,Brazil,AL,Maceió
28,AA Ponte Preta,Estádio Moisés Lucarelli,https://tmssl.akamaized.net/images/wappen/verysmall/1134.png?lm=1419949200,-22.9135401,-47.0511882,Brazil,SP,Campinas
29,Criciúma EC,Estádio Heriberto Hülse,https://tmssl.akamaized.net/images/wappen/verysmall/7178.png?lm=1412878993,-28.6842897,-49.367697,Brazil,SC,Criciúma
30,Grêmio Novorizontino,Estádio Jorge Ismael de Biasi,https://tmssl.akamaized.net/images/wappen/verysmall/37474.png?lm=1420383136,-21.467156396664876,-49.232497864259656,Brazil,SP,Novo Horizonte
31,Avaí FC,Estádio Aderbal Ramos da Silva,https://tmssl.akamaized.net/images/wappen/verysmall/2035.png?lm=1419949249,-27.6663917,-48.5316667,Brazil,SC,Florianópolis
32,Ituano FC,Estádio Municipal Doutor Novelli Júnior,https://tmssl.akamaized.net/images/wappen/verysmall/4773.png?lm=1455315107,-23.2812738,-47.2879709,Brazil,SP,Itu
33,Mirassol FC,Estádio Municipal José María de Campos Maia,https://tmssl.akamaized.net/images/wappen/verysmall/3876.png?lm=1585083395,-20.82104422972856,-49.50675372326037,Brazil,SP,Mirassol
34,Atlético Goianiense,Estádio Antonio Accioly,https://tmssl.akamaized.net/images/wappen/verysmall/15172.png?lm=1598605472,-16.6695309,-49.2841376,Brazil,GO,Goiânia
35,Vila Nova FC,Estádio Onésio Brasileiro Alvarenga,https://tmssl.akamaized.net/images/wappen/verysmall/5677.png?lm=1683557145,-16.6737028,-49.2376216,Brazil,GO,Goiânia
36,Brusque FC,Estadio Augusto Bauer,https://tmssl.akamaized.net/images/wappen/homepage/14390.png?lm=1579096150,-27.1013696,-48.91608,Brazil,SC,Brusque
37,Amazonas FC,Arena da Amazônia,https://tmssl.akamaized.net/images/wappen/homepage/87727.png?lm=1612517939,-3.0831132,-60.0280052,Brazil,AM,Manaus
38,Operário FEC,Estadio Germano Kruger,https://tmssl.akamaized.net/images/wappen/tiny/27214.png?lm=1647255730,-25.116011132619022,-50.15654526042742,Brazil,PR,Ponta Grossa
39,Paysandu SC,Estádio Banpará Curuzu,https://tmssl.akamaized.net/images/wappen/tiny/6347.png?lm=1596631029,-1.443778488242549,-48.46286997625053,Brazil,PA,Belém
